hypothesis_id,comparison,baseline_backend,candidate_backend,observable,channel_kind,channel_index,time,baseline_value,candidate_value,abs_error,drift_kind,warning_threshold,fail_threshold,verdict
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,0,0.0,1.0,1.0,0.0,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,0,0.25,0.849795533015,0.787109375,0.062686158015,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,0,0.25,0.849795533015,0.83984375,0.009951783014999993,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,0,0.25,0.83984375,0.787109375,0.052734375,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,0,0.5,0.503240843255,0.490234375,0.013006468254999959,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,0,0.5,0.503240843255,0.513671875,0.010431031745000041,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,0,0.5,0.513671875,0.490234375,0.0234375,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,0,1.0,0.0600882779308,0.033203125,0.026885152930800002,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,0,1.0,0.0600882779308,0.033203125,0.026885152930800002,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,0,1.0,0.033203125,0.033203125,0.0,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,1,0.0,-1.0,-1.0,0.0,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,1,0.0,-1.0,-1.0,0.0,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,1,0.0,-1.0,-1.0,0.0,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,1,0.25,-0.848275956684,-0.787109375,0.06116658168400002,abs_error,0.12,0.28,pass
